decision_id,respondent_id,study_id,decision_type,employment_status,income_at_time,amount_usd,decision_date,reversed,confidence_score
1,215,1,Loan Repayment,Full-time,60-100k,5269.86,2023-01-10,False,0.919
2,486,1,Savings Deposit,Full-time,100k+,8139.96,2023-01-30,False,0.888
3,574,1,Major Purchase,Unemployed,<30k,64.9,2023-06-19,True,0.738
4,263,1,Subscription,Part-time,60-100k,368.04,2022-09-15,False,0.573
5,208,1,Subscription Cancel,Student,30-60k,417.93,2023-06-22,False,0.138
6,224,1,Major Purchase,Full-time,60-100k,622.12,2022-04-06,False,0.823
7,529,1,Investment,Retired,60-100k,367.1,2022-10-12,False,0.668
8,367,1,Major Purchase,Full-time,60-100k,1763.02,2022-04-22,False,0.847
9,273,1,Major Purchase,Full-time,60-100k,6053.73,2022-06-03,False,0.708
10,652,1,Subscription,Unemployed,<30k,859.94,2022-10-07,False,0.719
11,243,1,Subscription Cancel,Full-time,100k+,8838.47,2023-02-13,False,0.549
12,113,1,Subscription,Retired,60-100k,205.51,2023-02-19,False,0.621
13,239,1,Major Purchase,Part-time,30-60k,4657.54,2022-11-06,False,0.144
14,200,1,Credit Application,Unemployed,30-60k,968.83,2022-10-21,True,0.384
15,425,1,Credit Application,Full-time,<30k,7456.71,2023-01-14,False,0.362
16,234,1,Investment,Retired,60-100k,731.2,2023-03-17,False,0.355
17,689,1,Credit Application,Unemployed,60-100k,214.03,2022-05-07,False,0.311
18,786,1,Credit Application,Unemployed,100k+,1228.6,2022-06-04,False,0.469
19,74,1,Major Purchase,Unemployed,30-60k,828.43,2022-04-28,True,0.439
20,158,1,Credit Application,Student,60-100k,686.99,2023-05-11,False,0.182
21,311,1,Loan Repayment,Student,60-100k,1231.6,2022-07-14,True,0.26
22,474,1,Subscription,Student,<30k,305.16,2022-12-19,False,0.383
23,565,1,Loan Repayment,Unemployed,30-60k,1061.14,2022-05-28,False,0.392
24,231,1,Subscription,Full-time,100k+,8775.48,2022-10-06,False,0.536
25,614,1,Credit Application,Student,60-100k,813.15,2023-06-07,False,0.24
26,240,1,Subscription,Full-time,60-100k,10463.02,2022-11-15,False,0.374
27,569,1,Investment,Full-time,60-100k,13154.7,2022-06-25,False,0.415
28,211,1,Subscription Cancel,Part-time,100k+,2316.49,2022-03-24,False,0.219
29,115,1,Investment,Student,100k+,968.61,2023-05-15,True,0.501
30,448,1,Credit Application,Unemployed,<30k,415.92,2022-09-08,False,0.141
31,463,1,Subscription Cancel,Student,30-60k,1127.54,2022-04-11,False,0.191
32,588,1,Loan Repayment,Full-time,100k+,2645.66,2022-04-17,False,0.781
33,304,1,Subscription,Full-time,60-100k,5825.35,2023-01-10,False,0.785
34,589,1,Major Purchase,Full-time,60-100k,12747.55,2022-06-13,False,0.47
35,527,1,Savings Deposit,Full-time,60-100k,1767.89,2022-05-23,False,0.814
36,422,1,Savings Deposit,Unemployed,30-60k,298.72,2023-06-12,False,0.357
37,14,1,Credit Application,Full-time,60-100k,11372.85,2022-10-07,False,0.8
38,245,1,Subscription,Full-time,100k+,17136.44,2023-05-11,False,0.785
39,500,1,Credit Application,Self-employed,60-100k,4690.89,2022-09-23,False,0.362
40,230,1,Loan Repayment,Full-time,60-100k,8266.88,2023-04-12,False,0.543
41,70,1,Subscription Cancel,Full-time,30-60k,4901.97,2023-01-15,True,0.386
42,723,1,Savings Deposit,Full-time,30-60k,7798.25,2022-05-23,False,0.788
43,188,1,Subscription Cancel,Unemployed,60-100k,103.44,2023-06-20,False,0.644
44,584,1,Loan Repayment,Retired,<30k,313.15,2023-06-19,False,0.325
45,735,1,Loan Repayment,Part-time,30-60k,4882.06,2023-05-09,False,0.555
46,785,1,Loan Repayment,Unemployed,<30k,297.5,2022-10-19,False,0.24
47,553,1,Loan Repayment,Unemployed,30-60k,782.9,2022-03-25,True,0.28
48,116,1,Major Purchase,Unemployed,<30k,957.1,2022-12-26,True,0.297
49,149,1,Subscription Cancel,Unemployed,30-60k,53.59,2023-06-25,False,0.303
50,433,1,Savings Deposit,Student,60-100k,1371.81,2023-01-18,False,0.689
51,727,1,Subscription,Full-time,100k+,13589.29,2022-03-22,False,0.796
52,462,1,Investment,Self-employed,100k+,1216.58,2022-04-29,False,0.313
53,659,1,Major Purchase,Self-employed,<30k,3642.17,2022-07-28,False,0.378
54,489,1,Subscription Cancel,Unemployed,<30k,110.22,2023-03-29,True,0.451
55,151,1,Subscription Cancel,Unemployed,<30k,535.98,2023-03-13,False,0.191
56,748,1,Loan Repayment,Full-time,60-100k,10644.04,2022-10-13,False,0.453
57,597,1,Savings Deposit,Full-time,30-60k,15724.53,2022-08-31,False,0.344
58,127,1,Credit Application,Full-time,60-100k,17255.38,2022-05-19,False,0.484
59,767,1,Credit Application,Student,60-100k,832.18,2023-01-19,False,0.479
60,638,1,Investment,Student,30-60k,1030.94,2022-12-23,False,0.168
61,43,1,Major Purchase,Self-employed,60-100k,1094.36,2023-06-16,False,0.711
62,763,1,Subscription Cancel,Full-time,30-60k,6588.35,2022-09-28,False,0.939
63,89,1,Major Purchase,Full-time,60-100k,2558.31,2022-09-08,False,0.491
64,281,1,Investment,Part-time,100k+,717.46,2022-06-02,False,0.584
65,508,1,Subscription,Unemployed,60-100k,435.35,2022-09-21,False,0.271
66,452,1,Investment,Retired,30-60k,89.87,2023-04-11,False,0.714
67,141,1,Savings Deposit,Part-time,60-100k,1311.6,2023-04-08,False,0.424
68,657,1,Credit Application,Full-time,30-60k,9947.64,2022-04-06,False,0.752
69,644,1,Loan Repayment,Part-time,60-100k,3945.23,2022-05-17,True,0.33
70,147,1,Savings Deposit,Full-time,60-100k,8463.32,2023-06-06,False,0.732
71,143,1,Subscription,Self-employed,30-60k,2880.97,2022-10-14,False,0.279
72,734,1,Subscription Cancel,Full-time,30-60k,4966.92,2022-08-14,True,0.934
73,724,1,Credit Application,Student,60-100k,1118.69,2022-04-16,False,0.543
74,135,1,Subscription,Part-time,30-60k,3932.68,2022-09-01,False,0.406
75,415,1,Loan Repayment,Unemployed,<30k,1331.01,2022-08-13,True,0.587
76,711,1,Savings Deposit,Full-time,60-100k,6735.34,2022-09-30,False,0.465
77,434,1,Subscription Cancel,Part-time,30-60k,4840.61,2023-05-12,False,0.366
78,491,1,Investment,Unemployed,30-60k,1378.58,2022-09-02,True,0.558
79,319,1,Subscription Cancel,Part-time,100k+,2609.1,2023-06-22,True,0.398
80,777,1,Credit Application,Part-time,100k+,3147.11,2022-10-17,False,0.116
81,661,1,Major Purchase,Full-time,60-100k,5180.49,2022-04-24,False,0.632
82,400,1,Credit Application,Part-time,60-100k,1631.52,2023-03-05,True,0.569
83,435,1,Subscription Cancel,Retired,100k+,970.88,2023-06-30,False,0.188
84,351,1,Major Purchase,Full-time,60-100k,6577.4,2022-05-29,True,0.451
85,427,1,Credit Application,Student,30-60k,1356.12,2022-04-05,True,0.217
86,201,1,Major Purchase,Student,<30k,1348.03,2023-04-28,False,0.466
87,393,2,Credit Application,Part-time,100k+,4546.05,2019-07-26,False,0.102
88,546,2,Loan Repayment,Part-time,100k+,4820.27,2019-08-04,True,0.505
89,357,2,Investment,Full-time,30-60k,5484.23,2019-08-19,False,0.598
90,382,2,Subscription,Full-time,60-100k,16599.77,2019-07-12,False,0.916
91,464,2,Investment,Full-time,60-100k,13357.63,2019-06-30,False,0.381
92,251,2,Savings Deposit,Student,60-100k,613.2,2019-08-22,False,0.725
93,438,2,Credit Application,Full-time,100k+,14129.28,2019-07-27,False,0.942
94,317,2,Subscription Cancel,Full-time,100k+,4161.39,2019-08-17,False,0.84
95,257,2,Major Purchase,Part-time,60-100k,4064.37,2019-08-09,True,0.5
96,644,2,Major Purchase,Part-time,60-100k,3973.31,2019-07-25,False,0.133
97,56,2,Subscription,Unemployed,30-60k,1305.68,2019-07-01,False,0.445
98,177,2,Loan Repayment,Part-time,30-60k,1570.41,2019-08-07,False,0.133
99,458,2,Loan Repayment,Full-time,30-60k,4019.68,2019-08-21,False,0.975
100,580,2,Investment,Retired,30-60k,1342.6,2019-07-10,False,0.174
101,395,2,Major Purchase,Unemployed,30-60k,41.7,2019-07-01,False,0.334
102,748,2,Subscription Cancel,Full-time,60-100k,2912.42,2019-07-29,False,0.878
103,514,2,Investment,Student,100k+,1283.09,2019-07-06,False,0.414
104,303,2,Subscription Cancel,Unemployed,30-60k,1007.32,2019-07-25,False,0.334
105,111,2,Investment,Part-time,60-100k,4024.14,2019-06-30,False,0.558
106,191,2,Savings Deposit,Self-employed,60-100k,2824.15,2019-07-31,False,0.141
107,285,2,Loan Repayment,Student,30-60k,758.34,2019-07-30,False,0.311
108,635,2,Subscription,Part-time,30-60k,4454.22,2019-07-29,True,0.189
109,570,2,Investment,Student,60-100k,1007.16,2019-08-22,False,0.395
110,68,2,Savings Deposit,Unemployed,<30k,499.54,2019-08-21,False,0.417
111,261,2,Subscription,Student,<30k,704.94,2019-07-17,False,0.412
112,317,2,Subscription Cancel,Full-time,100k+,4762.31,2019-06-27,False,0.693
113,585,2,Savings Deposit,Part-time,30-60k,3491.72,2019-08-19,False,0.723
114,636,2,Savings Deposit,Retired,100k+,1167.81,2019-07-26,False,0.738
115,549,2,Subscription,Self-employed,30-60k,2718.63,2019-07-05,False,0.44
