wave_id,study_id,respondent_id,wave_date,employment_status,job_sector,weekly_hours,gross_monthly_usd,job_satisfaction,financial_anxiety
1,1,681,2022-07-08,Unemployed,Finance,0,344.92,0.2298,0.5736
2,1,681,2023-01-28,Unemployed,Hospitality,0,270.31,0.71,0.3718
3,1,681,2023-05-26,Unemployed,Public Sector,0,1080.71,0.7436,0.5631
4,1,564,2022-07-08,Full-time,Retail,26.04,3771.63,0.5857,0.0097
5,1,564,2023-01-28,Full-time,Technology,8.44,2616.55,0.3086,0.7582
6,1,564,2023-05-26,Full-time,Hospitality,17.63,6582.57,0.8652,0.9181
7,1,759,2022-07-08,Full-time,Healthcare,34.93,2422.37,0.5284,0.6331
8,1,759,2023-01-28,Full-time,Healthcare,33.53,9894.02,0.9694,0.0628
9,1,759,2023-05-26,Full-time,Hospitality,24.41,4191.82,0.9368,0.922
10,1,697,2022-07-08,Unemployed,Construction,0,648.09,0.0371,0.7618
11,1,697,2023-01-28,Unemployed,Construction,0,709.81,0.1571,0.366
12,1,697,2023-05-26,Unemployed,Healthcare,0,1089.89,0.9256,0.1986
13,1,147,2022-07-08,Full-time,Hospitality,30.96,3472.99,0.4508,0.6123
14,1,147,2023-01-28,Full-time,Healthcare,20.38,1691.41,0.8424,0.7158
15,1,147,2023-05-26,Full-time,Manufacturing,13.18,10581.94,0.8864,0.6177
16,1,519,2022-07-08,Full-time,Manufacturing,2.73,5175.16,0.4829,0.0376
17,1,519,2023-01-28,Full-time,Healthcare,41.51,11404.85,0.2949,0.0546
18,1,519,2023-05-26,Full-time,Healthcare,1.35,10666.09,0.9288,0.8482
19,1,658,2022-07-08,Retired,Construction,0,104.2,0.5036,0.9872
20,1,658,2023-01-28,Retired,Construction,0,1023.66,0.6478,0.3437
21,1,658,2023-05-26,Retired,Public Sector,0,365.61,0.4053,0.4082
22,1,191,2022-07-08,Self-employed,Finance,2.41,1933.67,0.8272,0.3703
23,1,191,2023-01-28,Self-employed,Retail,28.32,3903.19,0.1146,0.3548
24,1,191,2023-05-26,Full-time,Hospitality,7.19,6259.1,0.3078,0.3215
25,1,231,2022-07-08,Full-time,Technology,24.03,8681.56,0.0575,0.7622
26,1,231,2023-01-28,Full-time,Finance,1.51,3231.95,0.9068,0.792
27,1,231,2023-05-26,Full-time,Public Sector,14.24,2115.26,0.848,0.5549
28,1,166,2022-07-08,Full-time,Manufacturing,17.26,10656.08,0.1625,0.2317
29,1,166,2023-01-28,Full-time,Healthcare,29.94,2279.5,0.6672,0.6177
30,1,166,2023-05-26,Full-time,Retail,38.58,10189.94,0.4432,0.6268
31,1,117,2022-07-08,Unemployed,Education,0,946.6,0.8443,0.3757
32,1,117,2023-01-28,Unemployed,Public Sector,0,235.06,0.7601,0.2799
33,1,117,2023-05-26,Unemployed,Healthcare,0,949.39,0.5456,0.804
34,1,141,2022-07-08,Part-time,Hospitality,10.18,1297.34,0.6385,0.7937
35,1,141,2023-01-28,Part-time,Public Sector,38.51,3590.63,0.2599,0.9246
36,1,141,2023-05-26,Part-time,Construction,25.91,1671.68,0.1479,0.2837
37,1,583,2022-07-08,Full-time,Technology,35.88,11484.83,0.6835,0.0239
38,1,583,2023-01-28,Full-time,Finance,2.83,9140.72,0.318,0.0752
39,1,583,2023-05-26,Full-time,Technology,12.73,6050.71,0.4171,0.9142
40,1,592,2022-07-08,Full-time,Finance,20.38,3750.24,0.0347,0.4039
41,1,592,2023-01-28,Full-time,Public Sector,2.13,8233.77,0.0592,0.22
42,1,592,2023-05-26,Full-time,Finance,30.63,4516.46,0.9028,0.6809
43,1,720,2022-07-08,Retired,Healthcare,0,108.18,0.6986,0.0598
44,1,720,2023-01-28,Retired,Hospitality,0,471.73,0.9237,0.9733
45,1,720,2023-05-26,Retired,Construction,0,805.3,0.4419,0.7677
46,1,690,2022-07-08,Student,Hospitality,8.8,1810.01,0.384,0.8206
47,1,690,2023-01-28,Student,Healthcare,29.15,3624.04,0.4561,0.3444
48,1,690,2023-05-26,Student,Manufacturing,47.41,1671.32,0.1436,0.2812
49,1,1,2022-07-08,Full-time,Manufacturing,17.37,8635.13,0.6171,0.8187
50,1,1,2023-01-28,Full-time,Healthcare,43.25,8921.84,0.8363,0.8999
51,1,1,2023-05-26,Full-time,Healthcare,31.12,10518.94,0.7763,0.1894
52,1,582,2022-07-08,Part-time,Healthcare,27.41,2700.79,0.6436,0.3581
53,1,582,2023-01-28,Part-time,Healthcare,1.06,2306.11,0.927,0.4477
54,1,582,2023-05-26,Part-time,Retail,20.73,3519.65,0.3904,0.6245
55,1,284,2022-07-08,Part-time,Education,28.73,1918.31,0.7803,0.2656
56,1,284,2023-01-28,Self-employed,Finance,21.82,926.14,0.6542,0.2064
57,1,284,2023-05-26,Self-employed,Healthcare,2.14,3499.07,0.8867,0.0686
58,1,419,2022-07-08,Full-time,Retail,37.65,11884.48,0.0662,0.3242
59,1,419,2023-01-28,Full-time,Healthcare,19.42,1807.54,0.1067,0.2885
60,1,419,2023-05-26,Full-time,Hospitality,15.15,7540.9,0.4671,0.5641
61,1,104,2022-07-08,Part-time,Public Sector,24.66,1772.35,0.8373,0.8149
62,1,104,2023-01-28,Part-time,Healthcare,42.9,1571.75,0.393,0.1049
63,1,104,2023-05-26,Part-time,Retail,19.54,1335.7,0.7222,0.359
64,1,405,2022-07-08,Full-time,Hospitality,17.12,1573.53,0.666,0.7497
65,1,405,2023-01-28,Full-time,Education,43.24,3094.41,0.5996,0.7337
66,1,405,2023-05-26,Full-time,Public Sector,21.1,8710.7,0.537,0.1048
67,1,27,2022-07-08,Part-time,Healthcare,32.59,2784.0,0.5613,0.4586
68,1,27,2023-01-28,Part-time,Manufacturing,31.24,3932.96,0.7111,0.7324
