response_id,item_index,raw_answer,numeric_score
1,1,7,0.703
1,2,2,0.3301
1,3,1,0.7911
1,4,5,0.0235
1,5,6,0.7623
1,6,1,0.91
1,7,2,0.2109
1,8,3,0.7797
1,9,3,0.7972
1,10,6,0.3315
1,11,7,0.9292
1,12,7,0.0811
1,13,3,0.6719
1,14,3,0.203
1,15,3,0.8331
2,1,4,0.5785
2,2,2,0.1655
2,3,2,0.5152
2,4,2,0.3631
2,5,6,0.8933
2,6,2,0.918
2,7,3,0.1353
2,8,4,0.8939
2,9,2,0.3041
2,10,5,0.2793
2,11,2,0.1737
2,12,6,0.0651
2,13,1,0.2938
2,14,6,0.7357
2,15,4,0.7175
2,16,7,0.2397
2,17,4,0.895
2,18,4,0.7827
2,19,3,0.0187
2,20,4,0.7422
3,1,1,0.0286
3,2,4,0.8112
3,3,7,0.8058
3,4,6,0.5919
3,5,3,0.8855
3,6,5,0.2293
3,7,5,0.3912
3,8,6,0.1153
3,9,7,0.7555
3,10,4,0.6001
3,11,7,0.2552
3,12,4,0.1407
3,13,2,0.0956
3,14,4,0.2038
3,15,7,0.1692
3,16,5,0.5664
3,17,5,0.252
4,1,4,0.1676
4,2,1,0.0121
4,3,7,0.2688
4,4,4,0.0148
4,5,5,0.8196
4,6,5,0.3813
4,7,2,0.3201
4,8,5,0.8111
4,9,4,0.9345
4,10,2,0.3617
4,11,4,0.9836
4,12,2,0.8575
4,13,1,0.5278
4,14,1,0.036
4,15,2,0.5802
4,16,2,0.4004
4,17,5,0.9199
4,18,6,0.1276
4,19,4,0.748
5,1,7,0.2812
5,2,4,0.8554
5,3,3,0.2326
5,4,7,0.2107
5,5,4,0.3918
5,6,5,0.645
5,7,5,0.865
5,8,5,0.8262
5,9,1,0.6215
5,10,2,0.5188
5,11,3,0.8135
5,12,3,0.2768
5,13,3,0.1637
5,14,6,0.8612
6,1,1,0.7545
6,2,1,0.513
6,3,6,0.8661
6,4,2,0.7223
6,5,2,0.8363
6,6,5,0.6308
6,7,4,0.4292
6,8,6,0.7964
6,9,1,0.8817
6,10,2,0.3557
6,11,4,0.4749
6,12,3,0.16
6,13,7,0.6652
