run_id,metric_name,split,value,std_dev,k_folds
1,Accuracy,train,0.929287,0.043744,
1,Accuracy,val,0.920069,0.012142,10
1,Accuracy,test,0.899607,0.034413,10
1,F1,train,0.0,0.002557,
1,F1,val,0.0,0.001258,5
1,F1,test,0.0,0.015707,10
2,Accuracy,train,0.508086,0.005788,
2,Accuracy,val,0.508663,0.034801,10
2,Accuracy,test,0.459813,0.006271,10
2,F1,train,2.074419,0.045048,10
2,F1,val,2.089646,0.027532,
2,F1,test,2.032919,0.043635,10
4,Accuracy,train,0.0,0.042515,5
4,Accuracy,val,0.0,0.026576,10
4,Accuracy,test,0.0,0.021357,5
4,F1,train,0.739115,0.026823,5
4,F1,val,0.760662,0.025216,
4,F1,test,0.714158,0.003577,10
5,Accuracy,train,0.0,0.038523,5
5,Accuracy,val,0.0,0.04938,
5,Accuracy,test,0.0,0.011364,10
5,F1,train,0.0,0.048157,
5,F1,val,0.0,0.001171,5
5,F1,test,0.0,0.020393,5
6,Accuracy,train,0.697429,0.018204,5
6,Accuracy,val,0.691189,0.019052,
6,Accuracy,test,0.660552,0.036988,5
6,F1,train,0.080556,0.035708,
6,F1,val,0.092951,0.042854,10
6,F1,test,0.042615,0.040265,
7,Accuracy,train,0.0,0.016188,5
7,Accuracy,val,0.0,0.00337,10
7,Accuracy,test,0.0,0.045261,
7,F1,train,0.102188,0.016952,5
7,F1,val,0.088837,0.013109,
7,F1,test,0.045878,0.025895,10
8,Accuracy,train,0.0,0.048747,10
8,Accuracy,val,0.0,0.019597,5
8,Accuracy,test,0.0,0.013051,5
8,F1,train,0.0,0.025274,10
8,F1,val,0.0,0.044587,5
8,F1,test,0.0,0.046044,
9,Accuracy,train,0.320044,0.037409,5
9,Accuracy,val,0.331418,0.024498,5
9,Accuracy,test,0.292276,0.003162,
9,F1,train,0.334203,0.030947,
9,F1,val,0.317992,0.049134,10
9,F1,test,0.311716,0.034506,10
10,Accuracy,train,1.505607,0.043022,5
10,Accuracy,val,1.492704,0.032858,5
10,Accuracy,test,1.47753,0.006465,5
10,F1,train,0.0,0.013618,10
10,F1,val,0.0,0.016528,
10,F1,test,0.0,0.00462,
11,Accuracy,train,0.820142,0.021235,5
11,Accuracy,val,0.800692,0.026195,5
11,Accuracy,test,0.777387,0.02544,10
11,F1,train,1.694139,0.021985,10
11,F1,val,1.686407,0.047324,5
11,F1,test,1.642848,0.047301,
12,Accuracy,train,0.0,0.036385,5
12,Accuracy,val,0.0,0.044438,5
12,Accuracy,test,0.0,0.017752,10
12,F1,train,1.233315,0.017137,5
12,F1,val,1.226618,0.020314,5
12,F1,test,1.20207,0.013835,5
13,Accuracy,train,0.0,0.013599,5
13,Accuracy,val,0.0,0.00672,10
13,Accuracy,test,0.0,0.037281,
13,F1,train,0.666496,0.048082,
13,F1,val,0.66993,0.015024,10
13,F1,test,0.633017,0.044142,
14,Accuracy,train,0.0,0.028887,10
14,Accuracy,val,0.0,0.017188,5
14,Accuracy,test,0.0,0.018475,5
14,F1,train,0.0,0.041673,10
14,F1,val,0.0,0.025392,
14,F1,test,0.0,0.008844,5
15,Accuracy,train,0.0,0.044764,
15,Accuracy,val,0.0,0.005692,5
15,Accuracy,test,0.0,0.039174,
15,F1,train,0.0,0.004518,
15,F1,val,0.0,0.01539,10
15,F1,test,0.0,0.034066,5
16,Accuracy,train,2.281406,0.041845,5
16,Accuracy,val,2.275001,0.026829,
16,Accuracy,test,2.242795,0.008363,
16,F1,train,0.103525,0.048971,10
16,F1,val,0.086964,0.039032,
16,F1,test,0.050948,0.018718,5
17,Accuracy,train,0.455628,0.004892,10
17,Accuracy,val,0.45568,0.015876,
17,Accuracy,test,0.42757,0.018078,10
17,F1,train,0.013852,0.03779,
17,F1,val,0.025233,0.047594,5
17,F1,test,0.0,0.045734,5
18,Accuracy,train,1.293078,0.030835,
18,Accuracy,val,1.287841,0.037046,5
18,Accuracy,test,1.259204,0.046761,
18,F1,train,1.816617,0.012499,10
18,F1,val,1.821498,0.023814,10
18,F1,test,1.783275,0.039875,10
19,Accuracy,train,1.087874,0.043478,
19,Accuracy,val,1.106116,0.029592,5
19,Accuracy,test,1.066978,0.014518,
19,F1,train,0.0,0.0313,5
19,F1,val,0.0,0.033983,
19,F1,test,0.0,0.005916,10
20,Accuracy,train,0.375271,0.027169,
20,Accuracy,val,0.363908,0.028084,
20,Accuracy,test,0.328648,0.033709,
20,F1,train,0.738388,0.048188,
20,F1,val,0.73872,0.033454,10
20,F1,test,0.698262,0.025967,
21,Accuracy,train,0.458865,0.011632,5
21,Accuracy,val,0.465707,0.049688,
21,Accuracy,test,0.447905,0.033748,5
21,F1,train,1.933684,0.024017,
21,F1,val,1.931344,0.043864,5
21,F1,test,1.928082,0.043406,5
22,Accuracy,train,0.0,0.049042,5
22,Accuracy,val,0.0,0.014259,5
22,Accuracy,test,0.0,0.016812,
22,F1,train,0.825293,0.043335,5
22,F1,val,0.849445,0.022105,5
22,F1,test,0.792702,0.026023,10
23,Accuracy,train,0.0,0.006301,5
23,Accuracy,val,0.0,0.036343,5
23,Accuracy,test,0.0,0.008951,
23,F1,train,0.419353,0.042588,
23,F1,val,0.409695,0.007881,
23,F1,test,0.36825,0.00562,10
24,Accuracy,train,0.826576,0.016188,
24,Accuracy,val,0.821741,0.007861,5
24,Accuracy,test,0.793388,0.002422,10
24,F1,train,0.714828,0.001123,5
24,F1,val,0.723825,0.021714,10
24,F1,test,0.699773,0.023335,10
26,Accuracy,train,0.929843,0.01483,
26,Accuracy,val,0.944015,0.030089,10
26,Accuracy,test,0.885716,0.04457,
26,F1,train,0.496269,0.009293,5
26,F1,val,0.491235,0.014401,10
26,F1,test,0.472572,0.011421,5
27,Accuracy,train,0.0,0.006956,10
27,Accuracy,val,0.0,0.035992,5
27,Accuracy,test,0.0,0.003731,5
27,F1,train,0.0,0.024352,10
27,F1,val,0.0,0.00912,10
27,F1,test,0.0,0.033673,10
28,Accuracy,train,0.0,0.011554,10
28,Accuracy,val,0.0,0.015757,5
28,Accuracy,test,0.0,0.03282,5
28,F1,train,0.622616,0.020704,10
28,F1,val,0.645622,0.002822,10
28,F1,test,0.618961,0.045729,5
32,Accuracy,train,1.275858,0.006669,10
32,Accuracy,val,1.25521,0.004981,
32,Accuracy,test,1.234696,0.032014,10
32,F1,train,0.085397,0.006427,10
32,F1,val,0.078005,0.02524,10
32,F1,test,0.052611,0.049598,10
33,Accuracy,train,0.605356,0.015187,10
33,Accuracy,val,0.600628,0.03746,
33,Accuracy,test,0.576967,0.039456,10
33,F1,train,0.305054,0.010329,10
33,F1,val,0.302153,0.045016,
33,F1,test,0.267774,0.002159,10
34,Accuracy,train,1.957732,0.048749,10
34,Accuracy,val,1.973035,0.026923,10
34,Accuracy,test,1.915105,0.042215,10
34,F1,train,0.34014,0.011498,5
34,F1,val,0.352197,0.008044,10
34,F1,test,0.322159,0.028528,
35,Accuracy,train,0.0,0.018304,
35,Accuracy,val,0.0,0.021659,5
35,Accuracy,test,0.0,0.044206,10
35,F1,train,1.860409,0.031073,10
35,F1,val,1.857282,0.016109,10
35,F1,test,1.827213,0.042949,
36,Accuracy,train,1.194061,0.015764,10
36,Accuracy,val,1.175201,0.016767,5
36,Accuracy,test,1.153927,0.029705,10
36,F1,train,1.103499,0.026104,10
36,F1,val,1.097754,0.027276,
36,F1,test,1.081459,0.023144,
37,Accuracy,train,0.781725,0.035082,
37,Accuracy,val,0.788768,0.00405,10
37,Accuracy,test,0.724798,0.04895,10
37,F1,train,0.736854,0.025561,
37,F1,val,0.74589,0.008575,
37,F1,test,0.719676,0.049971,10
38,Accuracy,train,0.0,0.021431,
38,Accuracy,val,0.0,0.011622,10
38,Accuracy,test,0.0,0.049431,
38,F1,train,2.440453,0.03323,
