obs_id,user_study_id,respondent_id,task_label,completion_secs,error_count,nasa_tlx_score,satisfaction,noted_at
1,1,148,Report export,76.29,5,45.82,0.5806,2022-04-19 00:00:00
2,1,148,Checkout completion,394.22,3,74.06,0.1061,2022-05-16 00:00:00
3,1,148,Recommendation acceptance,73.08,7,60.9,0.0446,2022-04-26 00:00:00
4,1,148,Alert triage,347.59,7,47.63,0.1878,2022-06-02 00:00:00
5,1,507,Report export,550.0,8,46.72,0.3056,2022-05-27 00:00:00
6,1,507,Alert triage,114.91,5,65.16,0.5044,2022-04-15 00:00:00
7,1,507,Search & filter,211.89,2,83.82,0.6346,2022-05-26 00:00:00
8,1,507,Anomaly identification,442.61,0,81.67,0.6003,2022-04-20 00:00:00
9,1,507,Onboarding flow,358.65,5,51.13,0.3255,2022-04-21 00:00:00
10,1,120,Checkout completion,283.39,4,33.55,0.0088,2022-05-30 00:00:00
11,1,120,Dashboard navigation,518.37,4,27.69,0.5207,2022-04-26 00:00:00
12,1,120,Alert triage,126.34,6,32.99,0.7443,2022-05-28 00:00:00
13,1,120,Anomaly identification,315.23,3,17.52,0.0323,2022-05-25 00:00:00
14,1,333,Model output interpretation,89.24,0,48.79,0.9851,2022-05-05 00:00:00
15,1,333,Dashboard navigation,492.65,5,88.2,0.8555,2022-04-24 00:00:00
16,1,333,Report export,172.85,1,83.78,0.647,2022-05-18 00:00:00
17,1,333,Onboarding flow,51.56,7,11.12,0.7723,2022-04-27 00:00:00
18,1,625,Model output interpretation,23.34,5,45.93,0.8993,2022-05-01 00:00:00
19,1,625,Search & filter,404.89,8,11.98,0.3946,2022-05-26 00:00:00
20,1,625,Onboarding flow,583.79,2,36.16,0.3726,2022-04-29 00:00:00
21,1,625,Recommendation acceptance,572.68,5,71.57,0.976,2022-05-23 00:00:00
22,1,91,Anomaly identification,86.72,6,15.42,0.3097,2022-05-06 00:00:00
23,1,91,Alert triage,232.35,6,51.73,0.3453,2022-05-23 00:00:00
24,1,91,Report export,68.48,5,74.45,0.5896,2022-05-01 00:00:00
25,1,91,Checkout completion,147.38,2,44.15,0.8133,2022-06-08 00:00:00
26,1,91,Search & filter,590.92,4,12.04,0.5041,2022-04-25 00:00:00
27,1,374,Report export,295.23,2,74.55,0.723,2022-06-04 00:00:00
28,1,374,Model output interpretation,40.42,8,53.88,0.482,2022-05-01 00:00:00
29,1,167,Alert triage,513.83,5,42.05,0.2556,2022-06-06 00:00:00
30,1,167,Recommendation acceptance,30.93,2,49.55,0.9474,2022-06-14 00:00:00
31,1,167,Anomaly identification,348.91,0,26.13,0.6486,2022-04-10 00:00:00
32,1,167,Onboarding flow,480.53,2,66.09,0.395,2022-05-28 00:00:00
33,1,642,Alert triage,528.16,6,50.84,0.2491,2022-06-12 00:00:00
34,1,642,Onboarding flow,531.78,2,49.07,0.6465,2022-06-08 00:00:00
35,1,642,Anomaly identification,98.42,3,85.41,0.2661,2022-04-11 00:00:00
36,1,642,Report export,384.82,6,69.16,0.7892,2022-05-26 00:00:00
37,1,642,Recommendation acceptance,348.63,7,45.86,0.9808,2022-05-06 00:00:00
38,1,779,Model output interpretation,377.2,7,17.4,0.3208,2022-06-11 00:00:00
39,1,779,Alert triage,468.68,8,89.66,0.6906,2022-05-17 00:00:00
40,1,779,Dashboard navigation,315.36,1,81.37,0.9245,2022-04-16 00:00:00
41,1,760,Report export,85.84,5,65.98,0.8121,2022-06-01 00:00:00
42,1,760,Anomaly identification,292.07,7,67.2,0.8964,2022-05-14 00:00:00
43,1,760,Onboarding flow,390.95,8,81.16,0.3519,2022-05-03 00:00:00
44,1,760,Dashboard navigation,255.33,5,18.08,0.3017,2022-05-08 00:00:00
45,1,747,Search & filter,266.7,0,53.1,0.5553,2022-05-18 00:00:00
46,1,747,Model output interpretation,302.82,4,86.03,0.7794,2022-05-12 00:00:00
47,1,747,Recommendation acceptance,112.72,3,38.48,0.6033,2022-06-05 00:00:00
48,1,747,Anomaly identification,78.58,8,48.03,0.2867,2022-04-15 00:00:00
49,1,747,Checkout completion,513.46,2,84.24,0.4449,2022-04-13 00:00:00
50,1,15,Model output interpretation,444.67,1,32.23,0.8513,2022-04-15 00:00:00
51,1,15,Anomaly identification,108.94,2,75.88,0.2,2022-06-02 00:00:00
52,1,15,Alert triage,93.72,2,23.51,0.7105,2022-04-25 00:00:00
53,1,114,Recommendation acceptance,167.8,4,79.14,0.1943,2022-05-10 00:00:00
54,1,114,Model output interpretation,450.21,1,53.6,0.9581,2022-04-21 00:00:00
55,1,493,Onboarding flow,246.62,4,41.6,0.9906,2022-04-21 00:00:00
56,1,493,Anomaly identification,211.5,5,27.25,0.2079,2022-04-23 00:00:00
57,1,493,Checkout completion,281.94,7,51.29,0.4196,2022-04-12 00:00:00
58,1,464,Recommendation acceptance,17.19,5,79.99,0.3518,2022-05-25 00:00:00
59,1,464,Model output interpretation,403.09,2,47.39,0.0063,2022-05-18 00:00:00
60,1,464,Checkout completion,214.82,4,41.4,0.8634,2022-06-13 00:00:00
61,1,464,Report export,492.92,0,84.16,0.4684,2022-06-10 00:00:00
62,1,464,Anomaly identification,403.89,4,79.14,0.7385,2022-05-23 00:00:00
63,1,361,Model output interpretation,294.8,6,61.25,0.4632,2022-05-23 00:00:00
64,1,361,Report export,535.61,2,52.74,0.0186,2022-05-12 00:00:00
65,1,361,Anomaly identification,306.2,8,78.63,0.4519,2022-06-06 00:00:00
66,1,361,Dashboard navigation,182.74,6,20.52,0.9029,2022-04-21 00:00:00
67,1,602,Model output interpretation,104.02,6,12.79,0.674,2022-05-14 00:00:00
68,1,602,Recommendation acceptance,336.77,0,84.79,0.3052,2022-05-04 00:00:00
69,1,602,Checkout completion,174.0,8,31.63,0.4667,2022-04-17 00:00:00
70,1,602,Dashboard navigation,386.12,3,40.23,0.8296,2022-04-21 00:00:00
71,1,80,Report export,509.26,2,78.96,0.2559,2022-05-26 00:00:00
72,1,80,Model output interpretation,353.43,3,82.19,0.811,2022-05-19 00:00:00
73,1,461,Dashboard navigation,463.75,3,82.34,0.8638,2022-05-11 00:00:00
74,1,461,Checkout completion,476.2,3,59.92,0.3426,2022-05-14 00:00:00
75,1,696,Recommendation acceptance,435.01,3,47.55,0.7033,2022-04-20 00:00:00
76,1,696,Checkout completion,70.87,7,32.31,0.4519,2022-05-29 00:00:00
77,1,696,Onboarding flow,75.56,8,43.7,0.9903,2022-04-19 00:00:00
78,1,696,Report export,512.73,8,19.41,0.1866,2022-04-30 00:00:00
79,1,696,Alert triage,205.51,5,28.07,0.0744,2022-04-21 00:00:00
80,1,613,Alert triage,597.38,3,54.26,0.3949,2022-05-29 00:00:00
81,1,613,Dashboard navigation,95.77,4,36.56,0.0617,2022-05-27 00:00:00
82,1,613,Report export,210.31,4,24.79,0.781,2022-06-13 00:00:00
83,1,515,Onboarding flow,40.01,7,33.07,0.2076,2022-06-13 00:00:00
84,1,515,Search & filter,194.16,0,31.71,0.3203,2022-05-03 00:00:00
85,1,212,Checkout completion,536.55,4,23.03,0.7892,2022-05-24 00:00:00
86,1,212,Alert triage,314.5,6,66.91,0.8124,2022-05-08 00:00:00
87,1,212,Model output interpretation,466.66,7,83.3,0.0983,2022-05-01 00:00:00
88,1,729,Report export,289.29,8,64.7,0.7083,2022-06-14 00:00:00
89,1,729,Model output interpretation,578.35,8,28.91,0.6022,2022-04-16 00:00:00
90,1,729,Search & filter,277.5,0,30.21,0.2705,2022-04-30 00:00:00
91,1,729,Alert triage,159.51,4,13.58,0.7824,2022-04-12 00:00:00
92,1,729,Anomaly identification,303.52,3,28.1,0.9868,2022-06-06 00:00:00
93,1,147,Model output interpretation,236.32,5,89.61,0.2771,2022-05-23 00:00:00
94,1,147,Dashboard navigation,428.38,6,74.52,0.1853,2022-04-29 00:00:00
95,1,716,Model output interpretation,151.92,7,33.5,0.6185,2022-04-21 00:00:00
96,1,716,Recommendation acceptance,366.42,8,35.41,0.4004,2022-04-26 00:00:00
97,1,716,Alert triage,358.52,7,22.57,0.7924,2022-04-26 00:00:00
98,1,716,Report export,537.14,2,71.52,0.6511,2022-04-15 00:00:00
99,1,716,Anomaly identification,209.85,3,54.92,0.3531,2022-04-19 00:00:00
100,1,165,Search & filter,98.08,1,63.84,0.7793,2022-06-10 00:00:00
101,1,165,Report export,367.3,3,50.71,0.1534,2022-05-20 00:00:00
102,1,165,Anomaly identification,408.27,1,84.97,0.2346,2022-04-17 00:00:00
103,1,618,Checkout completion,253.25,6,65.36,0.4403,2022-06-09 00:00:00
104,1,618,Anomaly identification,230.31,1,45.39,0.5037,2022-04-16 00:00:00
105,1,618,Recommendation acceptance,591.93,0,47.86,0.1153,2022-05-27 00:00:00
106,1,324,Report export,292.94,2,76.54,0.6295,2022-06-14 00:00:00
107,1,324,Search & filter,335.38,7,72.24,0.3696,2022-04-29 00:00:00
108,1,324,Alert triage,131.71,5,22.37,0.4893,2022-04-16 00:00:00
109,1,324,Onboarding flow,395.53,3,24.75,0.8091,2022-04-27 00:00:00
110,1,324,Dashboard navigation,488.8,6,31.45,0.9081,2022-05-03 00:00:00
111,1,632,Search & filter,211.28,3,38.43,0.5874,2022-04-26 00:00:00
112,1,632,Report export,244.96,7,41.01,0.7078,2022-05-09 00:00:00
113,1,632,Dashboard navigation,205.49,4,86.8,0.6141,2022-04-20 00:00:00
114,1,632,Onboarding flow,404.25,4,71.25,0.1508,2022-04-15 00:00:00
115,1,632,Recommendation acceptance,438.0,4,20.34,0.4806,2022-06-14 00:00:00
116,1,194,Anomaly identification,242.6,3,18.91,0.1734,2022-04-14 00:00:00
117,1,194,Recommendation acceptance,404.09,1,58.73,0.6242,2022-04-19 00:00:00
118,1,194,Checkout completion,171.59,6,55.78,0.3014,2022-06-13 00:00:00
119,1,741,Recommendation acceptance,360.86,6,67.58,0.2195,2022-05-12 00:00:00
120,1,741,Report export,338.13,3,51.51,0.9524,2022-05-29 00:00:00
121,1,790,Anomaly identification,199.1,6,47.37,0.9561,2022-04-25 00:00:00
122,1,790,Dashboard navigation,168.21,7,46.05,0.2806,2022-05-13 00:00:00
123,1,790,Onboarding flow,86.59,2,19.34,0.0893,2022-04-20 00:00:00
124,1,790,Model output interpretation,597.87,1,58.83,0.5603,2022-05-15 00:00:00
125,1,3,Dashboard navigation,346.33,3,85.9,0.1861,2022-06-01 00:00:00
126,1,3,Checkout completion,65.3,7,52.36,0.373,2022-06-04 00:00:00
127,1,3,Alert triage,215.19,0,75.87,0.2497,2022-05-18 00:00:00
128,1,399,Model output interpretation,60.81,5,51.1,0.3729,2022-05-29 00:00:00
129,1,399,Checkout completion,378.57,7,53.18,0.9521,2022-06-10 00:00:00
130,1,399,Alert triage,99.7,0,47.09,0.3159,2022-05-07 00:00:00
131,1,399,Search & filter,446.64,1,49.08,0.1212,2022-05-15 00:00:00
132,1,21,Dashboard navigation,589.26,2,54.81,0.3604,2022-06-02 00:00:00
133,1,21,Model output interpretation,66.74,6,89.05,0.6405,2022-04-12 00:00:00
134,1,21,Recommendation acceptance,546.43,1,28.94,0.3933,2022-05-06 00:00:00
135,1,21,Anomaly identification,571.48,8,26.06,0.6114,2022-05-18 00:00:00
136,1,611,Alert triage,429.55,8,36.75,0.5273,2022-05-07 00:00:00
137,1,611,Checkout completion,429.76,7,22.7,0.0194,2022-05-20 00:00:00
138,1,611,Report export,168.45,4,47.28,0.9324,2022-06-08 00:00:00
139,1,611,Dashboard navigation,408.64,5,23.79,0.3291,2022-05-25 00:00:00
140,1,611,Search & filter,330.03,3,43.72,0.2699,2022-05-11 00:00:00
141,1,136,Onboarding flow,395.36,2,80.03,0.3324,2022-05-19 00:00:00
142,1,136,Anomaly identification,112.58,2,39.43,0.7815,2022-06-12 00:00:00
143,1,136,Dashboard navigation,526.39,5,11.57,0.7734,2022-06-13 00:00:00
144,1,13,Dashboard navigation,419.69,2,32.2,0.3896,2022-04-28 00:00:00
145,1,13,Recommendation acceptance,493.4,4,60.43,0.8834,2022-04-19 00:00:00
146,1,462,Search & filter,260.42,7,68.88,0.4275,2022-06-12 00:00:00
147,1,462,Dashboard navigation,100.26,4,37.12,0.2699,2022-04-28 00:00:00
148,1,462,Report export,118.05,0,36.66,0.344,2022-05-10 00:00:00
149,1,462,Anomaly identification,115.37,5,54.38,0.126,2022-05-23 00:00:00
150,1,462,Onboarding flow,128.71,6,28.6,0.5824,2022-05-03 00:00:00
151,1,498,Search & filter,508.37,7,16.98,0.9887,2022-04-13 00:00:00
152,1,498,Checkout completion,353.81,1,25.2,0.7979,2022-04-28 00:00:00
153,1,498,Anomaly identification,566.58,0,36.37,0.7341,2022-06-04 00:00:00
154,1,215,Onboarding flow,494.39,8,84.67,0.202,2022-05-03 00:00:00
155,1,215,Recommendation acceptance,243.97,5,57.2,0.2381,2022-05-17 00:00:00
156,1,215,Alert triage,54.62,2,76.17,0.7401,2022-04-29 00:00:00
157,1,215,Report export,210.5,4,17.24,0.6155,2022-05-23 00:00:00
158,1,215,Search & filter,402.13,5,36.39,0.0617,2022-05-26 00:00:00
159,1,578,Model output interpretation,244.18,3,21.42,0.9179,2022-04-17 00:00:00
160,1,578,Search & filter,56.18,2,65.2,0.8242,2022-05-18 00:00:00
161,1,578,Alert triage,407.94,8,41.7,0.6089,2022-06-04 00:00:00
162,1,578,Anomaly identification,533.26,5,18.43,0.928,2022-04-28 00:00:00
163,1,578,Onboarding flow,462.99,7,19.45,0.6378,2022-04-21 00:00:00
164,1,663,Checkout completion,520.55,3,56.73,0.5915,2022-05-20 00:00:00
165,1,663,Anomaly identification,259.14,6,77.51,0.6228,2022-06-12 00:00:00
166,1,496,Report export,562.8,0,10.36,0.2189,2022-04-16 00:00:00
167,1,496,Recommendation acceptance,123.58,6,41.93,0.2586,2022-05-30 00:00:00
168,1,496,Model output interpretation,166.14,4,43.31,0.0179,2022-05-28 00:00:00
169,1,496,Checkout completion,230.73,4,70.13,0.441,2022-05-17 00:00:00
170,1,643,Anomaly identification,385.64,4,74.41,0.516,2022-04-19 00:00:00
171,1,643,Report export,369.02,6,84.27,0.2459,2022-04-13 00:00:00
172,1,750,Anomaly identification,169.61,2,89.7,0.4672,2022-04-19 00:00:00
173,1,750,Alert triage,174.79,0,79.06,0.8654,2022-06-08 00:00:00
174,1,750,Onboarding flow,277.64,5,40.92,0.2374,2022-06-03 00:00:00
175,1,750,Recommendation acceptance,440.69,2,69.38,0.9639,2022-04-12 00:00:00
176,1,206,Search & filter,104.31,5,17.5,0.675,2022-05-31 00:00:00
177,1,206,Checkout completion,324.97,1,76.36,0.8851,2022-06-14 00:00:00
178,1,206,Recommendation acceptance,174.83,6,16.95,0.3572,2022-05-02 00:00:00
179,1,248,Onboarding flow,589.93,5,83.84,0.9771,2022-05-08 00:00:00
180,1,248,Anomaly identification,119.59,4,32.37,0.9261,2022-04-27 00:00:00
181,1,248,Checkout completion,225.29,6,80.26,0.5654,2022-05-25 00:00:00
182,1,423,Dashboard navigation,344.01,7,30.75,0.8184,2022-06-11 00:00:00
183,1,423,Alert triage,51.94,6,66.21,0.8554,2022-05-19 00:00:00
184,1,423,Anomaly identification,226.52,8,89.31,0.8815,2022-04-18 00:00:00
185,1,423,Search & filter,212.94,4,16.95,0.5611,2022-05-01 00:00:00
186,1,277,Model output interpretation,256.37,8,10.89,0.7262,2022-04-13 00:00:00
187,1,277,Dashboard navigation,274.84,2,25.71,0.8609,2022-05-13 00:00:00
188,2,792,Report export,369.88,1,21.92,0.4259,2022-09-02 00:00:00
189,2,792,Recommendation acceptance,98.92,0,52.63,0.1159,2022-09-25 00:00:00
190,2,792,Onboarding flow,51.71,4,50.94,0.7628,2022-10-07 00:00:00
191,2,792,Dashboard navigation,85.29,8,87.69,0.5995,2022-09-10 00:00:00
192,2,792,Search & filter,581.43,8,30.42,0.2785,2022-09-05 00:00:00
193,2,323,Checkout completion,514.83,8,23.67,0.867,2022-11-23 00:00:00
194,2,323,Alert triage,504.45,0,89.27,0.9851,2022-11-02 00:00:00
195,2,323,Anomaly identification,279.15,7,51.1,0.562,2022-11-23 00:00:00
196,2,287,Onboarding flow,104.07,7,63.19,0.3057,2022-11-21 00:00:00
197,2,287,Alert triage,556.14,3,85.22,0.6304,2022-11-22 00:00:00
198,2,287,Recommendation acceptance,498.02,1,35.81,0.3693,2022-10-30 00:00:00
199,2,287,Search & filter,448.71,1,81.57,0.6647,2022-09-30 00:00:00
