Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Overhead,Jitting,1,85584,1,85584,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Jitting,1,915250,1,915250,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Overhead,Jitting,2,247916,16,15494.75,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Jitting,2,241584,16,15099,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,1,8208,16,513,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,2,12375,32,386.72,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,3,37250,64,582.03,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,4,53042,128,414.39,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,5,95750,256,374.02,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,6,190292,512,371.66,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,7,384042,1024,375.04,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,8,734166,2048,358.48,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,9,1517792,4096,370.55,220,0,0,440
SingleFilterDoublePerformanceTest.IsEqual,AlliumSativum.Performance.Utils,SingleFilterDoublePerformanceTest,IsEqual,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,N=1,1,Workload,Pilot,10,3162250,8192,386.02,220,0,0,440
