country,date,GDP_Per_Capita_Current_USD,Total_Population,Population_Female_Percentage,Population_Male_Percentage,Electricity_Access_Urban_Percentage,Electricity_Access_Rural_Percentage,Total_Electricity_Output_GWh
Afghanistan,2000,174.930991430166,20130327.0,49.8535443635096,50.1464556364904,69.640983581543,,687.7
Afghanistan,2001,138.706821676113,20284307.0,49.8144427519482,50.1855572480518,71.3717803955078,,691.1
Afghanistan,2002,178.954088379235,21378117.0,49.7748188018617,50.2251811981383,73.099967956543,,722.2
Afghanistan,2003,198.871115728727,22733049.0,49.7353610595745,50.2646389404255,74.8283538818359,,976.0
Afghanistan,2004,221.763653873013,23560654.0,49.6977736567828,50.3022263432172,76.5597610473633,,780.0
Afghanistan,2005,254.184249149336,24404567.0,49.6624648026931,50.3375351973069,74.0,13.0,906.0
Afghanistan,2006,274.218553561575,25424094.0,49.6325060786827,50.3674939213173,80.0428924560547,12.5438634739485,913.0
Afghanistan,2007,376.223152003876,25909852.0,49.6085021870639,50.3914978129361,81.8002548217774,18.9162228544509,950.0
Afghanistan,2008,381.73323802844,26482622.0,49.5862305477154,50.4137694522846,89.9,32.5,788.0
Afghanistan,2009,452.053705477043,27466101.0,49.5627082112131,50.4372917887869,85.3545074462891,31.8451566296939,889.0
Afghanistan,2010,560.621505463146,28284089.0,49.539440691883,50.460559308117,82.8,32.4,892.0
Afghanistan,2011,606.694676337726,29347708.0,49.5184921942965,50.4815078057035,86.5677791512155,33.3801103938629,1005.0
Afghanistan,2012,651.417134470046,30560034.0,49.4997714989453,50.5002285010547,95.0,63.8,1022.0
Afghanistan,2013,637.087099117099,31622704.0,49.4826501870302,50.5173498129698,92.5772933959961,58.4236674312945,1022.3
Afghanistan,2014,625.054941813938,32792523.0,49.4681150334178,50.5318849665822,98.7,87.8,1049.3
Afghanistan,2015,565.569730408751,33831764.0,49.4572024089551,50.5427975910449,92.5,64.2,1033.7
Afghanistan,2016,522.082215583898,34700612.0,49.449550069908,50.550449930092,98.0384140014648,78.9610743548116,
Afghanistan,2017,525.469770891619,35688935.0,49.4549248947888,50.5450751052112,,,
Afghanistan,2018,491.337221382603,36743039.0,49.4744514736519,50.5255485263481,,,
Afghanistan,2019,496.6025042585,37856121.0,49.4939087921871,50.5060912078129,,,
Afghanistan,2020,510.787063366811,39068979.0,49.5112221898607,50.4887778101394,,,
Afghanistan,2021,356.496214115892,40000412.0,49.5343797958881,50.4656202041119,,,
Afghanistan,2022,357.261152798144,40578842.0,49.5410071090742,50.4589928909258,,,
Afghanistan,2023,413.757894705303,41454761.0,49.5255128837916,50.4744871162084,,,
Afghanistan,2024,,42647492.0,49.5104190417575,50.4895809582425,,,
Africa Eastern and Southern,2000,706.727260967009,406156661.0,50.8310338179982,49.1689661820018,,,
Africa Eastern and Southern,2001,625.82781544115,416807868.0,50.8193235932661,49.1806764067339,,,
Africa Eastern and Southern,2002,630.512327648462,427820358.0,50.8042914093178,49.1957085906822,,,
Africa Eastern and Southern,2003,815.432296267735,439173286.0,50.7852124768437,49.2147875231563,,,
Africa Eastern and Southern,2004,989.015463629244,450928044.0,50.765595039026,49.234404960974,,,
Africa Eastern and Southern,2005,1126.2973233912,463076637.0,50.7465090466799,49.2534909533201,,,
Africa Eastern and Southern,2006,1235.26660811771,475606210.0,50.7259879782501,49.2740120217499,,,
Africa Eastern and Southern,2007,1381.5525968929,488580707.0,50.705527208466,49.294472791534,,,
Africa Eastern and Southern,2008,1447.54575437552,502070763.0,50.6873216321976,49.3126783678024,,,
Africa Eastern and Southern,2009,1408.75346659428,516003448.0,50.6726357924495,49.3273642075505,,,
Africa Eastern and Southern,2010,1628.90524793139,530308387.0,50.6577530563168,49.3422469436832,,,
Africa Eastern and Southern,2011,1761.98926096159,544737983.0,50.641052962511,49.358947037489,,,
Africa Eastern and Southern,2012,1732.03802145335,559609961.0,50.6256072070509,49.3743927929491,,,
Africa Eastern and Southern,2013,1706.02274412621,575202699.0,50.6095678322301,49.3904321677699,,,
Africa Eastern and Southern,2014,1690.16679245944,590968990.0,50.5914587927809,49.4085412072191,,,
Africa Eastern and Southern,2015,1498.8752400759,607123269.0,50.5657493979127,49.4342506020873,,,
Africa Eastern and Southern,2016,1334.47050032928,623369401.0,50.5542594667373,49.4457405332626,,,
Africa Eastern and Southern,2017,1528.10422421284,640058741.0,50.5514973002028,49.4485026997972,,,
Africa Eastern and Southern,2018,1552.07372194919,657801085.0,50.5401647595356,49.4598352404643,,,
Africa Eastern and Southern,2019,1507.08559963484,675950189.0,50.5318100766469,49.4681899233531,,,
Africa Eastern and Southern,2020,1351.59166910879,694446100.0,50.5251168582144,49.4748831417855,,,
Africa Eastern and Southern,2021,1562.41617477738,713090928.0,50.519415677621,49.480584322379,,,
Africa Eastern and Southern,2022,1679.32762166466,731821393.0,50.5117103040984,49.4882896959016,,,
Africa Eastern and Southern,2023,1571.44918918981,750491370.0,50.5028524284205,49.4971475715795,,,
Africa Eastern and Southern,2024,1615.39635562849,769280888.0,50.4958829524579,49.5041170475421,,,
Africa Western and Central,2000,518.969226054683,274968446.0,50.0862817244224,49.9137182755776,,,
Africa Western and Central,2001,532.972787221754,282780717.0,50.0663263099791,49.9336736900209,,,
Africa Western and Central,2002,619.337335030759,290841795.0,50.0420164830145,49.9579835169855,,,
Africa Western and Central,2003,697.481256337088,299142845.0,50.0132122467984,49.9867877532016,,,
Africa Western and Central,2004,838.213391665852,307725100.0,49.9858477693746,50.0141522306254,,,
Africa Western and Central,2005,999.770023047319,316588476.0,49.9631869090917,50.0368130909083,,,
Africa Western and Central,2006,1234.64185574403,325663158.0,49.9441180292611,50.0558819707389,,,
Africa Western and Central,2007,1405.88018847409,334984176.0,49.925272735932,50.074727264068,,,
Africa Western and Central,2008,1666.52048270501,344586109.0,49.9007268422337,50.0992731577663,,,
Africa Western and Central,2009,1453.4952836253,354343844.0,49.8767557207588,50.1232442792412,,,
Africa Western and Central,2010,1662.63365844147,364358270.0,49.8537088208836,50.1462911791164,,,
Africa Western and Central,2011,1844.05436728177,374790143.0,49.8246784200186,50.1753215799815,,,
Africa Western and Central,2012,1941.11824321812,385360349.0,49.7956111719094,50.2043888280906,,,
Africa Western and Central,2013,2131.60609132899,396030207.0,49.7661074882982,50.2338925117018,,,
Africa Western and Central,2014,2221.35033761012,406992047.0,49.7444775547571,50.2555224452429,,,
Africa Western and Central,2015,1860.72768628324,418127845.0,49.7299786463467,50.2700213536533,,,
Africa Western and Central,2016,1630.03943895258,429454743.0,49.7140952608504,50.2859047391496,,,
Africa Western and Central,2017,1574.23056437855,440882906.0,49.6988828562406,50.3011171437594,,,
