Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Jitting,1,110875,1,110875,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Workload,Jitting,1,255041,1,255041,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Warmup,1,250,1,250,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Warmup,2,125,1,125,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Warmup,3,0,1,0,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Warmup,4,0,1,0,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Warmup,5,125,1,125,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Warmup,6,125,1,125,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Warmup,7,41,1,41,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,1,166,1,166,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,2,83,1,83,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,3,41,1,41,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,4,0,1,0,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,5,42,1,42,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,6,42,1,42,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,7,125,1,125,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,8,0,1,0,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,9,84,1,84,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,10,0,1,0,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,11,0,1,0,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,12,41,1,41,0,0,0,304
ProjectPerformanceTest.Project,AlliumSativum.Performance.Utils,ProjectPerformanceTest,Project,Job-CNUJVU,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Job-CNUJVU(InvocationCount=1, UnrollFactor=1)",N=1&ProjectedFieldCount=1,1,Overhead,Actual,13,83,1,83,0,0,0,304
